識別番号,漢字,種類,異体字(表に含む),漢検級
1,亜,1. 常用漢字の通用字体,亞,準2級
2,哀,1. 常用漢字の通用字体,,3級
3,挨,1. 常用漢字の通用字体,,2級
4,愛,1. 常用漢字の通用字体,,7級
5,曖,1. 常用漢字の通用字体,,2級
6,悪,1. 常用漢字の通用字体,惡,8級
7,握,1. 常用漢字の通用字体,,4級
8,圧,1. 常用漢字の通用字体,,6級
9,扱,1. 常用漢字の通用字体,,4級
10,宛,1. 常用漢字の通用字体,,2級
11,嵐,1. 常用漢字の通用字体,,2級
12,安,1. 常用漢字の通用字体,,8級
13,案,1. 常用漢字の通用字体,,7級
14,暗,1. 常用漢字の通用字体,,8級
15,以,1. 常用漢字の通用字体,,7級
16,衣,1. 常用漢字の通用字体,,7級
17,位,1. 常用漢字の通用字体,,7級
18,囲,1. 常用漢字の通用字体,,6級
19,医,1. 常用漢字の通用字体,,8級
20,依,1. 常用漢字の通用字体,,4級
21,委,1. 常用漢字の通用字体,,8級
22,威,1. 常用漢字の通用字体,,4級
23,為,1. 常用漢字の通用字体,爲,4級
24,畏,1. 常用漢字の通用字体,,2級
25,胃,1. 常用漢字の通用字体,,5級
26,尉,1. 常用漢字の通用字体,,準2級
27,異,1. 常用漢字の通用字体,,5級
28,移,1. 常用漢字の通用字体,,6級
29,萎,1. 常用漢字の通用字体,,2級
30,偉,1. 常用漢字の通用字体,,4級
31,椅,1. 常用漢字の通用字体,,2級
32,彙,1. 常用漢字の通用字体,,2級
33,意,1. 常用漢字の通用字体,,8級
34,違,1. 常用漢字の通用字体,,4級
35,維,1. 常用漢字の通用字体,,4級
36,慰,1. 常用漢字の通用字体,,3級
37,遺,1. 常用漢字の通用字体,,5級
38,緯,1. 常用漢字の通用字体,,4級
39,域,1. 常用漢字の通用字体,,5級
40,育,1. 常用漢字の通用字体,,8級
41,一,1. 常用漢字の通用字体,,10級
42,壱,1. 常用漢字の通用字体,,4級
43,逸,1. 常用漢字の通用字体,逸,準2級
44,茨,1. 常用漢字の通用字体,,7級
45,芋,1. 常用漢字の通用字体,,4級
46,引,1. 常用漢字の通用字体,,9級
47,印,1. 常用漢字の通用字体,,7級
48,因,1. 常用漢字の通用字体,,6級
49,咽,1. 常用漢字の通用字体,,2級
50,姻,1. 常用漢字の通用字体,,準2級
51,員,1. 常用漢字の通用字体,,8級
52,院,1. 常用漢字の通用字体,,8級
53,淫,1. 常用漢字の通用字体,,2級
54,陰,1. 常用漢字の通用字体,,4級
55,飲,1. 常用漢字の通用字体,,8級
56,隠,1. 常用漢字の通用字体,,4級
57,韻,1. 常用漢字の通用字体,,準2級
58,右,1. 常用漢字の通用字体,,10級
59,宇,1. 常用漢字の通用字体,,5級
60,羽,1. 常用漢字の通用字体,,9級
61,雨,1. 常用漢字の通用字体,,10級
62,唄,1. 常用漢字の通用字体,,2級
63,鬱,1. 常用漢字の通用字体,,2級
64,畝,1. 常用漢字の通用字体,,準2級
65,浦,1. 常用漢字の通用字体,,準2級
66,運,1. 常用漢字の通用字体,,8級
67,雲,1. 常用漢字の通用字体,,9級
68,永,1. 常用漢字の通用字体,,6級
69,泳,1. 常用漢字の通用字体,,8級
70,英,1. 常用漢字の通用字体,,7級
71,映,1. 常用漢字の通用字体,,5級
72,栄,1. 常用漢字の通用字体,榮,7級
73,営,1. 常用漢字の通用字体,,6級
74,詠,1. 常用漢字の通用字体,,3級
75,影,1. 常用漢字の通用字体,,4級
76,鋭,1. 常用漢字の通用字体,,4級
77,衛,1. 常用漢字の通用字体,衞,6級
78,易,1. 常用漢字の通用字体,,6級
79,疫,1. 常用漢字の通用字体,,準2級
80,益,1. 常用漢字の通用字体,,6級
81,液,1. 常用漢字の通用字体,,6級
82,駅,1. 常用漢字の通用字体,,8級
